transcript,summary
oh okay when is the due date for this?,when is the due date?
"Um, today today? Yes okay cool",Today.
So this will be done. Himanshu the path will be on you ,Himanshu the part will be on you
On you to close it sure sure I will do it,To close it
Okay and next?,Next?
bhanu? Hmm yeah,Bhanu?
Uh I'll start I guess this uh keyframes logic,I'll start adding keyframes logic today
Today today shall I move it to in-progress?,Shall I move it to in-progress?
Yeah that's,Yeah.
Himanshu it has dependence no it was finished from amit's side yeah ,Himanshu it has dependence? No it has been finished from amit's side. 
Yes yes it it's finished it's done oh okay so himanshu just check the due date for this,Himanshu check the due date 
Sure uh or bhanu even you can check the due date and let me know because we have just moved it to in-progress I want to check the due date.,Bhanu to check the due date for moving it to in-progress.
It shows 23,It shows 23
23rd as due date,23rd as due date?
uh that should be moved on himanshu? So I guess automatically It is taking as 24 I guess I forgot to make the change,"That should be moved, Himanshu? Automatically it is taking as 24."
I will make it as 3rd okay and in one of the user stories you have given you a due date of 2022 February next year due date,I will make it as 23rd. In one of the user stories you have given due date as 2022 february.
whoever is that person is super lucky. ,That person is lucky
Yeah that story is in ready to release ,The story is in ready to release.
Okay okay anuj is done then next,okay Anuj is done then next?
Move on okay this time I'll pick it up,This time I'll pick up.
Avijit. I'm done with my task. So was it avijit?,Avijit's task is done
there's a you don't have any work with himanshu?,"Avijit doesn't have any work, himanshu?"
you gave 5 days to everyone right? 5 days is over like some people had more than 5 days,5 days is over.
Oh sorry so but you,But you
will be assisting in some other task also I believe ,will be assisting in some other task also? 
Avijit? Yeah yeah sure,Avijit? Yeah sure
So I guess what is the task? I will add few user stories I mean another person's tasks complex. We'll break it down into another user story and assign it. Yeah. ,What is the task? I will break down another person's user story and assign it
Don't add a user story now. Himanshu it will be a scope change. Add a task to him for that user story got it fine okay let's move one dhanuj?,"Himanshu don't add a user story now, it will be a scope change. Add a task to him. Let's move on. Dhanuj?"
He's also free dhanuj? Yes both worked on the similar kind of tasks and they all they both finished it as well ,Dhanuj and Avijit worked on similar kind of tasks and finished the tasks.
All the 5 days tasks deadline was yesterday okay,All the 5 days tasks deadline was yesterday.
Yes,Yes
So bhanu's story has been moved to uh this in-progress today. So bhanu uh do you need any help or can you do it alone? It's a complex one.,Bhanu do you need any help? your story has been moved to in-progress today. 
What is that story? Adding keyframes logic I guess it will be a complex one. So why don't you? Let's add avijit and bhanu's user story I'll add it add him I'll let create a task I'll add him ,Adding keyframes logic might be a complex one. Add and create a task within Avijit and bhanu's user story.
Okay so avijit moved avijit this is moved to bhanu okay okay and later you'll see dhanuj,Avijit is moved to Bhanu's user story.
So let's go on to Avinash,Avinash?
Avinash. It will keep on going ahead,Avinash?
" Oh,  yeah.  Yeah,  but I have it integrated.  Yeah.  ",But I have integrated
uh escalation and deadline ,escallation and deadline
API also okay so how much part is left yet,API also. How much part is left?
Amit is trying uh optical flow uh once he finishes. I will add the attachment otherwise everything is integrated ,"Amit is trying for opticalflow, once done he will add the attachments."
is integrated ,Integrated
Divesh yeah I mean why is this story still in yeah I have one progress,Why is divesh's story still in in-progress?
to do it will be in progress today and I guess dhanuj can be part of uh divesh user story,It will be in progress today and Dhanuj can be part of Divesh user story.
for this UI attachment okay,for UI attachment
"So dhanuj, uh, uh, Divesh, uh, create a task and, uh, assign it to dhanuj. Okay sounds good Sravanthi. Okay anyways you will be breaking those into tasks right? Attach once, uh tasks to dhanuj's name sure ",Dhanuj? Divesh create a task and assign it to Dhanuj. Ok Sravanthi. Attach tasks to Dhanuj name
Hrisheek dynamic button logic where the JSON and yeah so I guess he also started,Dynamic button logic with JSON. I guess Hrisheek also started.
Hrisheek you there?,Hrisheek you there?
hrisheek is facing some power issue. So we don't think he will attend the meeting and he will join okay,hrisheek is facing some power issue. I think he will join demo.
demo okay he started thw work on the dynamic logic buttons okay ,He started the work on the dynamic logic buttons
Okay fine so did I anuj. Yeah uh so I'm done with this uh avijit. Send me the updated code have also updated on it sir can today ,"Anuj? Avijit sent me the updated code I have updated on it, it's done."
so I'll move it to review hmm,Move it to review?
you have attached all the relevant documents right?,you have attached all the relevant documents right?
I'm just attaching it okay once done then only move it to in-review.,Attach and move it to in-review.
Okay okay dhanuj would be helping Hrisheek in his task yeah,Dhanuj will be helping Hrisheek in his task.
Helping in his task yeah,Helping in his task
Okay okay cool okay sarika and nikita?,Sarika and Nikita?
"Nikita? Yes is she there? Yes yes hey nikita so I actually submitted both the scripts of the week to sarika yesterday itself hmm one on uh Wednesday and second one on Thursday night. So, the latter part is labeling from sarika's side. I have begun my next script next coming week, 4 meeting transcript to be precise. Okay fine uh sravanthi uh yeah let's touch base with sarika i mean 3 of us in a call to understand the i mean the name and the processing yeah yeah ","Nikita's story update is that the scripts have been submitted on Wednesday and thrusday,Latter part is labelling from Sarika's side, has begun next script 4 meeting transcript and needs a touchbase with Sravanthi and Sarika for the user story naming."
The processess yeah yeah we'll yeah yeah I'll we'll I'll touchbase  I'll connect with you both,The processes yeah we'll touch base.
Yes yes Sravanthi yeah,Yes Sravanthi.
I I'll do that hmm okay himanshu,Okay Himanshu?
"Okay sarika is done I thought she's pending. no no sarika already there's some confusion, which [-]I'll talk with talk with her okay got it okay",Sarika has some confusion which I'll talk with her.
Himanshu has nothing to do really? See in-review is ,Himanshu has nothing to review. 
Okay. But what is it you're planning to do for the day?,What is it you're planning to do for the day?
So actually the UI that I have shown in the start that UI only will be adding more logics oh okay okay,I'll be adding more logics to the UI
Okay so 5:30 we'll meet again,Team meeting at 5:30 PM
yeah 5:30 to 6:30 demo. Yes And the rest of the team can leave. Sarika and Nikita please stay back yeah,Team meeting at 5:30 PM-6:30 PM. Sarika and Nikita stay back in the call.
Oh okay thank you guys bye thank you thank you very much bye good day,Thank you guys bye
Avijit you're still there cool okay girls tell me yes sravanthi,Avijit you're still here? Ok girls tell me. Yes Sravanthi.
you can stop the recording,you can stop the recording
"Dhanuj anything pending from your side? No himanshu no. so whatever you have done you have already shared with me. Yeah I have sent you, if you guys shared me on teams or mail? I shared teams you on teams teams okay yeah fine okay Avinash? Anything pending from your side? not pending from my not pending anything but uh i need to check how much time it takes for different size of video files ","Dhanuj has shared his task on teams to Himanshu, Avinash to check how much time it takes for the different size of video files."
"But, uh, the video,uh which I have uploaded is through postman's. So maybe it took long time. Now we are uploading through the website. Okay. ","The video was uploaded through postman, now it's been uploaded by website."
but anyways uploading is still going right? Anyways it is going from local to server either through website or through so it will take time still,"Anyways the upload is going from local to server, it will still take time the either way."
Oh divesh and hrisheek uh so I guess you guys are done with the upload part and everything and how about the pending task? So I mean which is coffee or something?,Divesh and Hrisheek' updates on coffee part in the upload file dashboard.
"the upload file is almost done. So we are trying to some add some 75 components on the to beautify the upload page, with some gifs and some images. Like, Kajari said we need to add some graphic things on. Um, on the entire pipeline so currently we are doing now",Divesh is trying to add 75 components like gifs and images. Kajari said to add graphic images on the pipeline to beautify the upload page.
But uh uploading through website is taking less time than uploading through postman,Uploading a file through website is taking less time in comparison to postman.
"task is done, right. And it's getting uploaded. And a, as it is uploaded, it is starting the containers. Uh, speech man container. Hmm correct  And Once it is, once everything is done, are you sending any flag back so that the UI knows that everything is done and the buttons should be activated yeah ","Upload through website is taking place and it's starting with speechman containers, once done, are you sending a flag back so that the UI knows everything's done and the button gets activated?"
we need to know through the this thing so the UI that everything is. So maybe in the JSON that you are generating a can have a flag like ready? So if ready flag will be false still last JSON last uh component of JSON is uploaded at otherwise ,"the JSON being generated can we have a flag like""ready"" ?"
Once everything is done then ready  becomes true,"When upload is done, the flag ready becomes true."
Okay So I need to add a key into that JSON ready ,Add a key into the Json called ready.
"Yes at the starting maybe uh if ready is false that means is still it is getting generated if ready is true, that means now all the generation is done and then UI will know that yeah it's done.","In the beginning of JSON add ready as flag, depending on the status, the UI will know whether the upload is done or not done."
"of a scenario where like every minute or every five minutes, a request is sent to, uh, the Mongo DB, API which avinash has created for talking with mongo and it should and we should check that JSON if ready tag ready is false than the button should not be active, if ready is true then button should be active.","Scenario - where for every 5 minutes, a request is sent to Mongo DB API created by Avinash, check the JSON where if ready tag is flase, the button shouldn't be active, if ready tag is true, the button should be active."
So that means you and hrisheek both are doing this task. Right? Yes himanshu yeah so what so then I will work on this logic,Divesh and Hrisheek are working together on same task
avinash by what time uh this is ready? Tag will be done?,By what time will the ready tag be done Avinash?
"Um, then I will create, I will download that JSON and I will check for the false tags","Further, we can download the JSON and look for the false tags."
Let me know okay? So I have a doubt. So if you add a ready tag so you um what what are you doing? You calling API or mongo DB collection right?,"If you're adding a ready tag, are you calling API or mongo DB collection?"
Oh okay so if you call okay so which API you will call? Because thera re 7 or 8 API's,Which API will be called among the 8 API's?
"Sure sure carry on so I will be working on the same labeling of the script which I received so yeah today I'm blocked with that task today yeah um, Himanshu I'm beginning with the second script of a week so I'll be transcribing that today.","Sarika is working on the labeling of the script, she received. Nikita is beginning with transcribing 2nd script of the week."
"Um, uh, I don't think so himanshu so actually that the last time Nikita had given that feedback icon no so that icon I need to add so that icon I can pass to Amit he can just had it","Nikita has given a suggestion on adding a feedback icon to the dashboard, Suresh will be working on the icon and send it to amit."
Wednesday is our demo so today by end of the day.  Most of the things from my side will be complete whatever is pending tomorrow I will integrate,"Our demo is on Wednesday, tasks that are pending from Himanshu's side will be integrated bye EOD."
