transcript,entities
"Once the summary given by amit and dhanuj is received by hrisheek and divesh, You guys look at the look at each sentences and see what kind of topics are present there and based on that, you will have to extract those major topics. So suppose, suppose in the first meeting we discussed about, uh, uh, I guess bhanu asked the question that why handwritten mom is required. So then, uh, kajari explained and the entire thing. So with that, the topic extracted can be importance of mom, uh, importance of manual mom. So like that for every sentence or every paragraph that we are summarizing. First, we have to check whether there is an important topic or not. And if there is an important topic, what is the topic presented? And based on that, you will have to train the model. So as of now, obviously there is a lot of manual work as well, but then only we can train the model. So first look at the transcripts and come up with a strategy. So either you can use any NLP algorithm, or if you are feeling that NLP algorithm will not work, then you can create a rule based.algorithm","[[1007, 1010, 'Technologies'], [26, 30, 'Person Name'], [35, 41, 'Person Name'], [57, 65, 'Person Name'], [70, 76, 'Person Name'], [309, 314, 'Person Name'], [385, 391, 'Person Name'], [965, 968, 'Technologies']]"
"So if this term is present, then it is definitely talking about this particular topic. So like that you guys have to start then coming to Bhanu and anuj you guys have to extract those themes. So questions. So I guess I have added in my manual thing, I have added.","[[138, 143, 'Person Name'], [148, 152, 'Person Name']]"
"In the actual transcripts, there can be more questions. So don't only depend on what my, uh, manual transcript is saying. You also look at the actual transcript and see questions. Are there or not actions, discussions, obviously that is there. What is, what are the action items? What are the discussion item, questions, dates. So if there is a deadline that has to be, something has to be done before a deadline. So that can be one intent with the name deadline. So if there is an intent with the name deadline, then the deadline, which is the actual date that needs to be extracted as well, because later once you will click on the intent of deadline, then that sentence will come in the right-hand side. And then it will tell us  What is the actual date that will be extracted so like that if you look at the presentation which kajari has created on the left-hand side we have all the intents that is the task of bhanu and anuj while on the middle side there are all the what do we say let me share that particular thing as well so that it will become more clear so if you see here","[[812, 824, 'Tool'], [831, 837, 'Person Name'], [916, 921, 'Person Name'], [926, 930, 'Person Name']]"
"here you can see At minute forty 44 second open-ended questions. One minute, 10 seconds. it is talking about funnel six minutes of it is talking about building a growth team. So this is the topics that we are extracting. So that's the task of divesh and hrisheek, and this is the task  Of bhanu and uh anuj","[[243, 249, 'Person Name'], [254, 262, 'Person Name'], [235, 239, 'Scrum'], [280, 284, 'Scrum'], [289, 294, 'Person Name'], [302, 306, 'Person Name']]"
"And then it comes to otter.ai fireflies already the platform architechture I have shared it with kajari uh there are there are  few things that I need to add especially this feedback loop which i will add again and send it again while otter.ai and firefiles today i will be finishing the evaluation cool so any questions? so i guess major questions will start coming once you actually go throught the transcripts so i guess atleast by today i would i would require that you guys come up with a strategy of what exactly you're extracting what intents you're extracting what topics you're extracting, matching of current MOM with the generated MOM and like that whatever is the analysis you guys come up with that by tomorrow in the next meeting we will be discussing with each team. What is your plan? How you are going to proceed.further","[[21, 29, 'Tool'], [30, 39, 'Tool'], [97, 103, 'Person Name'], [235, 243, 'Tool'], [248, 257, 'Tool'], [258, 263, 'Date'], [435, 440, 'Date'], [715, 723, 'Date']]"
"so uh Sravanthi himanshu Yeah. himanshu Yeah. uh The one which you shared the list of activities, which the team has to do, right.","[[6, 15, 'Person Name'], [31, 39, 'Person Name'], [16, 24, 'Person Name']]"
have you uploaded it in the teams Yes. it's okay I have I have actually I'ts there I'll check it again. I I'll check it again if it's not relevant.I'll upload okay i i'll just check it again sure no problem yeah.,"[[28, 33, 'Tool']]"
so at 3:30 we we all three of us will be meeting I mean four of us avijit yeah shilpa and sravanthi right and I guess bhanu if you want to if you're okay with the project if you've understood then its okay otherwise if you also want to join it to understand then you can also join it It's optional for you. I will just extend it to bhanu.,"[[67, 73, 'Person Name'], [79, 85, 'Person Name'], [90, 99, 'Person Name'], [118, 123, 'Person Name'], [332, 337, 'Person Name']]"
"I don't think I added him Yeah. So bhanu and avijit are the two people by bhanu maybe optional, but yeah, till avijit we are mandatory it.","[[35, 40, 'Person Name'], [45, 51, 'Person Name'], [74, 79, 'Person Name'], [111, 117, 'Person Name']]"
"let me know bhanu If you need, I'll just forward that invite,yeah I have already got a invite But I think it's. no issues","[[12, 17, 'Person Name']]"
"guys Thank you. Thank you so much for joining the call and, uh, with the other team members let's meet tomorrow and get the solid updates and let's meet. at 3:30","[[103, 111, 'Date']]"
"Yeah. So the recording has started . So yeah, for today, it's your turn right, Avijit.","[[50, 55, 'Date'], [79, 85, 'Person Name']]"
Yeah! It seems so. Like there were two meetings cancelled. So I think today is my turn.,"[[70, 75, 'Date']]"
"Yeah! So after Hrisheek it was whose turn? Your turn only or someone else's turn? No Amit So, Amit have you made it for yesterdays? Or Amit your turn is done I guess","[[15, 23, 'Person Name'], [85, 89, 'Person Name'], [94, 98, 'Person Name'], [135, 139, 'Person Name']]"
"No, I haven't made. Actually I will made,make todays one.","[[46, 52, 'Date']]"
"No, yesterday's one is also pending, right? So you can do the yesterday's one and Avijit can do today's one. Okay. So yestrday's one..Okay so I will do the yesterdays one. huh..huh.. Yeah. Cool! Cool! So, okay. Coming to hive three. So Divesh, what's the update.","[[4, 15, 'Date'], [62, 73, 'Date'], [82, 88, 'Date'], [96, 103, 'Date'], [118, 128, 'Date'], [156, 166, 'Date'], [221, 231, 'Scrum'], [236, 242, 'Person Name'], [255, 261, 'Status']]"
"Actually I wrote some basic python logics. It's working good. So,So I need to convert it into functions and it will be updated by end of the day or tomorrow morning","[[130, 144, 'Date'], [148, 156, 'Date']]"
Okay.  So what you will be doing today? on that? What will be that task that you're going to do today?,"[[33, 38, 'Date'], [67, 71, 'Scrum'], [96, 101, 'Date']]"
 So I need to convert the code into a function. So in that function I need to extract the excel sheet and converts into a list and the list could be passes the main logic code. So I think it will be done by today or tomorrow morning,"[[207, 212, 'Date'], [216, 224, 'Date']]"
So I think it will be done by today or tomorrow morning,"[[30, 35, 'Date'], [39, 47, 'Date']]"
"So, Sorry to interrupt here Himanshu. So as per yesterdays update he was saying that","[[28, 36, 'Person Name'], [48, 58, 'Date'], [59, 65, 'Status']]"
everything looks fine. And then some more inputs need to be made. As of yesterday Divesh,"[[82, 88, 'Person Name'], [72, 81, 'Date']]"
"the total task is been given for how many hours, 8 hours which is a day","[[10, 14, 'Scrum']]"
So in that way there will be a delay in completion right ?,"[[40, 50, 'Status']]"
"so how do we do it himanshu, is it the scope","[[19, 27, 'Person Name'], [39, 44, 'Scrum']]"
"so how do we do it himanshu, is it scope that’s been given is less time ? do we have to increase it?","[[19, 27, 'Person Name'], [35, 40, 'Scrum']]"
the story points!,"[[4, 16, 'Scrum']]"
"I think, No I think the basic code creation in that what we wanted and the way it has to be done, already the logic has been incorporated.Okay  So all he needs to do is convert it into a function. So I guess that will be done. Right Divesh?","[[233, 239, 'Person Name']]"
Yes Himanshu,"[[4, 12, 'Person Name']]"
"Okay, can I treat it would be done by today?","[[30, 34, 'Status'], [38, 43, 'Date']]"
Yes Sravanthi,"[[4, 13, 'Person Name']]"
"So please provide your comments on your user story Divesh for today. So what you did yesterday and what you are planning to do today, so you just put it in the comments. Sure Himanshu Cool. So coming to the next is ""Meeting Setup date and time extraction and classification"". It is by?","[[40, 50, 'Scrum'], [51, 57, 'Person Name'], [62, 67, 'Date'], [85, 94, 'Date'], [127, 132, 'Date'], [175, 183, 'Person Name']]"
Yah its mine sir Hrisheek.,"[[17, 25, 'Person Name']]"
Its on Hrisheek.,"[[7, 15, 'Person Name']]"
"Uh, yeah, so actually I was, uh I, I have found a package and wrote a code to extract like data and time, and I found like, uh, under my example, it was working fine. So today I will, what I will do is I write a module and try to run on our like previous meetings data, and I will push that code to Bitbucket by end of the day. So today this I will be doing","[[170, 175, 'Date'], [299, 308, 'Tool'], [331, 336, 'Date']]"
"Okay.  So what I will also recommend you is that, uh, so obviously in the past recorded meetings, what we have there may not be multiple sentences talking about meetings set up, right? So you just create some dummy sentences. You can just think of like, let's create, let's have a meeting tomorrow, if that is the case or like that you come up with five or 10 new sentences and then try to apply your logic there as well. Okay?","[[289, 297, 'Date']]"
"Yeah, sure Sir. I was trying that way only, like, uh, taking out days name Monday, Tuesday, tomorrow, like that.  Yeah I will do that sir. I will update, I will complete this by the end of the day","[[75, 81, 'Date'], [83, 90, 'Date'], [92, 100, 'Date'], [146, 152, 'Status'], [161, 169, 'Status']]"
Perfect! Please provide the comments in your user story. Okay?,"[[45, 55, 'Scrum']]"
"Okay,Thank you!  Okay, next is Escallation. I guess it's Anuj","[[57, 61, 'Person Name']]"
Anuj..,"[[0, 4, 'Person Name']]"
"Yeah. Yeah. Yeah, sir. So, uh, regarding the deadline classification and extraction part, I've been using a cosine and Jaccards similarity for that. So passing the sentences as a list and then seeing it's if, if the days of the, uh, month or days of the week are coming or a date segment is coming. So that is doing fine, but regarding the escalation part, uh, there are not much, uh, I mean, not much sentences in the, uh, in the, in our, uh, that we extracted in the word files that we have.  So.","[[469, 473, 'Tool']]"
"So please provide your comments on your user story that what you did today by end of the day. So next is Bhanu - ""extraction of technologies being discussed"". So i guess Bhanu didn't join the meeting. Yeah. So anyways, in the morning he showed me the code. So, uh, his code is working fine. He used a spaCy. So I guess his task is all will be done by today. So I guess Bhanu is here right?, bhanu! .","[[40, 50, 'Scrum'], [69, 74, 'Date'], [105, 110, 'Person Name'], [170, 175, 'Person Name'], [351, 356, 'Date'], [369, 374, 'Person Name'], [391, 396, 'Person Name']]"
Yeah.Yeah Bhanu please tell,"[[10, 15, 'Person Name']]"
"Okay. No Issue. So you can update on what you did on, uh, ""extraction of technologies being discussed"".","[[27, 33, 'Scrum']]"
Yeah. So you just have to tell what you did and what are you planning to do today? That's it.,"[[76, 81, 'Date']]"
So what will be your task for today? By the end of the day what are you expecting?,"[[30, 35, 'Date']]"
"Today,  I'll try to, uh, add multithreading for this, because it's the same code for all the dictionary task","[[0, 5, 'Date']]"
"So, will the task be done today? because it shows only 4 hours. So will you take more time on it because yesterday only it was in ""Work is in progress"".","[[26, 31, 'Date'], [139, 150, 'Status'], [105, 114, 'Date']]"
"So the main task expectation is done Sravanthi. So the only thing is, uh, as he is having a small bandwidth he is trying something new to add as well.","[[37, 46, 'Person Name'], [12, 16, 'Scrum']]"
"Okay. So, Himanshu,  I just wanted to tell you if there is something else also that has been done, let's focus on what","[[10, 18, 'Person Name'], [93, 97, 'Status']]"
"Okay. So, Himanshu,  I just wanted to tell you if there is something else also that has been done, let's focus on what has been already done and that is","[[10, 18, 'Person Name']]"
required for Sprint 0.,"[[13, 21, 'Scrum']]"
atleast by this weekend or Monday a couple of stories as the team is progressing,"[[27, 33, 'Date'], [46, 53, 'Scrum'], [69, 80, 'Status']]"
few of them should be moved to done. We are only left with 10 days. So that’s One thing. And,"[[28, 35, 'Status'], [59, 66, 'Date']]"
"Yes Yes, so that's why I asked Bhanu that first you convert whatever code you have written into a function to see pass the dictionary is working fine and if it is working fine the user story could be moved to done. okay.","[[31, 36, 'Person Name'], [180, 190, 'Scrum'], [209, 213, 'Status']]"
"Correct Correct! So please follow up with them and then whatever task that has been assigned for Sprint 0, let's move it to ""Done"". The extra things we can do it in the next sprint.","[[65, 69, 'Scrum'], [97, 105, 'Scrum'], [125, 129, 'Status'], [174, 180, 'Scrum']]"
"Right. So Bhanu please provide your comments in your task. Okay. So you just need to write today's date and then make a dash and then write your comments, thatwhat you did and what are your planning to do today. Right?","[[10, 15, 'Person Name'], [53, 57, 'Scrum'], [91, 98, 'Date'], [205, 210, 'Date']]"
"Yeah,Next Dhanuj.","[[10, 16, 'Person Name']]"
"Yeah for Anthem tools extraction, I wrote a basic code, a basic Python code, I need to convert it into a function like, uh, today I will be connecting with Divesh and Bhanu, like, because we our requirement is quite similar Yes so that the code will be the same. And, uh, we have to change the list only.","[[124, 129, 'Date'], [156, 162, 'Person Name'], [167, 172, 'Person Name']]"
"Exactly. So what you have to do is all three of you now, once you're, once the three functions of you have been created, you see, you give, you give the same input to all three algoritms, all the three codes and see which is performing the best. So just try two or three test cases, whichever is performing the best, move on with it. Okay. So by today, I guess everything will be in the ""Done"" state. So Dhanuj please provide your comments in this particular section. Okay Sir  So yeah. So sentiment analysis has not yet started Sravanthi because Anuj is busy in the first user story as of now.","[[346, 351, 'Date'], [388, 392, 'Status'], [404, 410, 'Person Name'], [547, 551, 'Person Name'], [573, 583, 'Scrum']]"
"And same goes with the extraction of names, because it is on the name of Bhanu. So I guess once Banu is done with today's task, then by tomorrow, we can start with this. I guess I have kept these two in the ready state and not in the in progress state.","[[73, 78, 'Person Name'], [96, 100, 'Person Name'], [114, 121, 'Date'], [122, 126, 'Scrum'], [136, 144, 'Date'], [234, 245, 'Status']]"
"The Sentiment, the sentiment analysis that is on with Anuj right","[[54, 58, 'Person Name']]"
" So as you said Bhanu, sorry Anuj is not having  enough bandwidth. So, so whoever is, will be moving,  the tasks would be closed today. So for example, Bhanu's tasks will be closed, I believe, today, once he writes the function.","[[16, 21, 'Person Name'], [29, 33, 'Person Name'], [122, 128, 'Status'], [107, 112, 'Scrum'], [129, 134, 'Date'], [152, 159, 'Person Name'], [160, 165, 'Scrum'], [174, 180, 'Status'], [193, 198, 'Date']]"
" I believe, today, once he writes the function.","[[12, 17, 'Date']]"
"Bhanu, Divesh and Dhanuj, all the three people's tasks will be done today","[[0, 5, 'Person Name'], [7, 13, 'Person Name'], [18, 24, 'Person Name'], [49, 54, 'Scrum'], [63, 67, 'Status'], [68, 73, 'Date']]"
"Will be done, so can we Sir,Can I work on this. Yes. Can we assign this task to them?","[[8, 12, 'Status'], [72, 76, 'Scrum']]"
"Definitely. So it depends on, uh, uh, yes, Anuj, I guess your story is gonna take time, so maybe we'll reallocate it to someone else. Okay?, Rigth, right, So let's see, uh, I guess Amit also asked that he wants to do this, so maybe let's analyze what is Amit's work and based on that we can see.","[[43, 47, 'Person Name'], [181, 185, 'Person Name'], [254, 260, 'Person Name']]"
"So Sravanthi, Shouldn't these user stories be on that TO DO right?","[[3, 12, 'Person Name'], [30, 42, 'Scrum'], [54, 59, 'Status']]"
"So HIVE 10 and HIVE 11, as they have not been started, should it be on the TO DO? Or IN PROGRESS?","[[3, 10, 'Scrum'], [15, 22, 'Scrum'], [75, 80, 'Status'], [85, 96, 'Status']]"
"Ready is there, but in this board,  on the left-hand side is TO DO so as it has not been started, can we move it to TO DO","[[61, 66, 'Status'], [116, 121, 'Status']]"
"Yeah. Yeah, I did that. See, uh, Can u see this. Yeah, right And what are the other ones you said that would be in TO DO?  have not started  ?","[[115, 120, 'Status']]"
"Then,Yeah,Then there is one more, which after this, uh, come down, come down, blue color. One second. Yeah. This one, Extraction of names of people referred.  Yeah. Okay. OKay. then next is Conversion of code into this is again TO DO.  Yeah. Yeah So next is Avinash, yeah  AVinash what's your update?","[[228, 233, 'Status'], [258, 265, 'Person Name'], [273, 280, 'Person Name'], [293, 299, 'Scrum']]"
First..first you have to tell whether you are working on HIVE 14 or HIVE 18?,"[[57, 64, 'Scrum'], [68, 75, 'Scrum']]"
"HIVE 18. Okay ...So what I did was I took the misspelled words from all the standup calls, generated transcript, and I have added them to the custom vocabulary of rev.ai. So now it is generating the words like Pegasus exactly. pegasus is currently generated yes yes But the problem with rev.ai is that we cant add alphanumeric words. So T5, it should be T- FIVE","[[0, 7, 'Scrum'], [163, 169, 'Tool'], [287, 293, 'Tool']]"
Perfect.  So what you do today is you just add few more vocabularies to it whatever you can think of this based on our meeting. And then you just mark this task as done.,"[[25, 30, 'Date'], [156, 160, 'Scrum'], [164, 168, 'Status']]"
"Yeah, based on that. First, try it on first four and see if you can resolve on those issues or not. And then later, what do we say, Nikita and Sarika will be sending you more files and then you'll have to incorporate that as well. But as of now, let's just start with the first four and let's see if you can make a note. So you  can mark your comments in HIVE 18 and HIVE 14. Right?","[[132, 138, 'Person Name'], [143, 149, 'Person Name'], [355, 362, 'Scrum'], [367, 374, 'Scrum']]"
And is this the story where in we have to make some changes in the acceptance criteria?as per yesterdays conversation,"[[16, 21, 'Scrum'], [94, 104, 'Date']]"
"And is this the story where in we have to make some changes in the acceptance criteria, as per yesterdays conversation","[[95, 105, 'Date']]"
"Yeah only  small few lines needs to be added. I will add it it. Just after the call I will add it. Yeah. Thank you. Okay. Next is Amit, complete transcript summary.","[[130, 134, 'Person Name']]"
"okay, how to..ok So in this meeting we are only talking about scrum?","[[62, 67, 'Scrum']]"
"Yeah, we are talking kind of more about the scrum, but I guess today I'll research more about this model and see if we can finetune this model so that it will have the vocabulary of workOS and Anthem.","[[44, 49, 'Scrum'], [63, 68, 'Date'], [182, 188, 'Technical Platform']]"
"So before fine tuning your try, like you have given the entire, uh, minutes of the meeting, right. Maybe you break the minutes of meeting into four parts and then see if you're getting four lines. Like what kind of summary you are getting for four lines on what kind of, yeah. What kind of summary you are getting for four lines? Four paragraphs, sorry, because as of now, I mean, yeah, so then we will get four lines and then we can say that, okay this is the overall summary. Why I'm not going to finetune because we are, we are having lack of time. And also for this particular POC phase, Kajari wants to avoid any kind of fine tuning or custom tuning. So that is why, uh, whatever is the output. It's good. It is talking about scrum. So it is giving us the output.The next thing that you can do is you can just break, your paragraphs and break your sentence into four paragraphs and see if you're getting four different summaries, which you can combine. And that will be the overall summary. That that is the last thing that you can do. And then after that, you move on to your next user story.  Okay? Okay..Right so Please write your comments in your ,by the end of the day please write your comments in the user story.","[[592, 598, 'Person Name'], [731, 736, 'Scrum'], [1087, 1097, 'Scrum'], [1213, 1223, 'Scrum']]"
"So Sravanthi HIVE 20 needs to be moved on the left-hand side TO-DO,yeah.  Next is, where is it? UI/UX ! So UI/UX Wireframe design, so I guess Suresh is facing some issues with his laptop, so Suresh are you there?","[[3, 12, 'Person Name'], [13, 20, 'Scrum'], [61, 66, 'Status'], [142, 148, 'Person Name'], [191, 197, 'Person Name']]"
"hi, Himanshu. So actually the initial set up is done. Then I need to set up softwares, installations, rest of the part. So hopefully I can done today or tomorrow. Uh, then I can start with the Monday onwards","[[4, 12, 'Person Name'], [144, 149, 'Date'], [153, 161, 'Date'], [193, 199, 'Date']]"
"Okay. So I guess, uh, Sravanthi we can move it on the left-hand side then  TO DO list.","[[22, 31, 'Person Name'], [75, 80, 'Status']]"
"Suresh, I am so sorry we should have done it the day 1, I mean at the beginning of the meeting, So Suresh is been in the team but he was having some","[[0, 6, 'Person Name'], [99, 105, 'Person Name']]"
issue with his laotop and he joined the daily standup today for the very first time.,"[[54, 59, 'Date'], [40, 53, 'Event']]"
So Suresh please introduce yourself.,"[[3, 9, 'Person Name']]"
That's nice Suresh. Thank you. And welcome to the team and welcome to Legato.,"[[12, 18, 'Person Name']]"
"Yes. Thank you Team,  yeah. Thank you Sravanthi.","[[38, 47, 'Person Name']]"
Yeah. So I guess tomorrow Kajari has scheduled a call.,"[[26, 32, 'Person Name'], [17, 25, 'Date']]"
"Just because myself Shilpa and Suresh, we have recently joined, so feel free to join that call, um, to have more insights if you are missing any, the team.  Yeah, sure. Yeah. Yeah ummthat's all and Himanshu you have anything from your end?","[[20, 26, 'Person Name'], [31, 37, 'Person Name'], [198, 206, 'Person Name']]"
"Team ! You have anything to ask to Himanshu, this is the right forum!","[[35, 43, 'Person Name']]"
"First I'll go. So it's about the, Bigbucket thing which I mentioned in the group in the morning. So I have created a Bitbucket. Actually, it was created a long time back, but we were not using it only, I guess Avinash and Anuj and Divesh, they only used it, Hrisheek but after that we stopped using it, but now we have to use it aggressively. So as, as I told in the group, uh, we have to create our own, branch , sometime so I am sharing my screen for sometime. Yeah. Yeah. So like in the topics extraction Bhanu and Divesh and  Hrisheek are working. So any one of you guys can create this branch, uh, from your terminal and then you put your good inside this. So how to put your code. As of now, you can proceed like this, source/ML/Divesh, and inside that Divesh's code.  So similarily, Hrisheek inside that Hrisheek code and like that source/ML/Bhanu and inside that Bhanus's code  for topics extraction, same goes with Label extraction, filters, video analysis, and like that for all the eight epics I have, uh, you have to create eight different feature branches. Now Uh, where is it, once one epic is done once topic extraction is done, then the last three user story is first conversion of your code and giving it a structure, right. And converting it into an API, then generating a standardized, JSON, and then finally storing it into Mongo DB. That means these three things require merging of work of Divesh, Hrisheek and Bhanu for topic extraction. So once this merge is done, once this API has been created and once the Mongo DB storage script has also been written. That means we have all the three things ready, Divesh code, Hrishhek code, Bhanu code, all  integrated, that should be kepy inside src/ml/final, that will be the final code, that will go, so later in the develop branch I will only look at the final section. Okay? This will be the onlyone only code i will be taking and putting into develop. So develop means we are starting the stitching of all these epics. Once all these epics are done, we will start stitching it. That will go in develop branch. Once everything is working perfectly in develop branch we will put it in the master branch. Now master branch is called the main branch. So we will put it in the main branch. So that will e the final code that we will be showing for Demos and later we are going to follow the same process. May be in future we are going to change this kind of structure, but as of now till this POC goes we will be following this structure. So I hope everyone is well versed with how to use github and bigbucket is nothing but github only,  it is given by aclasean. So those who dont know or have little, i am only talking about the development team, so those who dont know just go through an article, watch a video and then just learn how exactly pull push, creation of branches, everything is being done using terminal. So if you guys have any question just let me know.","[[34, 43, 'Tool'], [117, 126, 'Tool'], [210, 217, 'Person Name'], [222, 226, 'Person Name'], [231, 237, 'Person Name'], [258, 266, 'Person Name'], [508, 513, 'Person Name'], [518, 524, 'Person Name'], [530, 538, 'Person Name'], [735, 741, 'Person Name'], [759, 767, 'Person Name'], [790, 798, 'Person Name'], [811, 819, 'Person Name'], [849, 854, 'Person Name'], [871, 879, 'Person Name'], [999, 1004, 'Scrum'], [1100, 1104, 'Scrum'], [1164, 1174, 'Scrum'], [1344, 1352, 'Technologies'], [1411, 1417, 'Person Name'], [1419, 1427, 'Person Name'], [1432, 1437, 'Person Name'], [1532, 1540, 'Technologies'], [1626, 1632, 'Person Name'], [1639, 1647, 'Person Name'], [1654, 1659, 'Person Name'], [1981, 1986, 'Scrum'], [2003, 2008, 'Scrum'], [2013, 2017, 'Status'], [2553, 2559, 'Tool'], [2564, 2573, 'Tool'], [2589, 2595, 'Tool'], [2618, 2626, 'Tool']]"
So I feel this should be a task that should be created Himanshu.,"[[27, 31, 'Scrum'], [55, 63, 'Person Name']]"
"So now that everything, whatever the team is doing that has been, that should be showcased. Nothing should be done at the backend and their efforts should not be, you know, shown","[[110, 114, 'Status']]"
So let's create tasks for these.,"[[16, 21, 'Scrum']]"
"these, the one which you have mentioned  instead of stories. Right?","[[52, 59, 'Scrum']]"
"Yeah. So Sravanthi the last user story that they will be doing, that user story will not be closed until and unless they're code, any user story will not be closed until and unless their code is inside the Bitbucket. So that is the rule. So no need to create a new task, the user story, any user story supposed Divesh user's story, it will be closed only once the code is complete, code is committed and reviewed by me based on the, uh, Sonar Lint or any kind of Lint correction tools. And if it passes that test, then only the user story will be closed. Otherwise it will again, come back to the developer to rectify the issue.","[[9, 18, 'Person Name'], [28, 38, 'Scrum'], [69, 79, 'Scrum'], [92, 98, 'Status'], [134, 144, 'Scrum'], [157, 163, 'Status'], [206, 215, 'Tool'], [261, 269, 'Scrum'], [275, 285, 'Scrum'], [291, 301, 'Scrum'], [311, 317, 'Person Name'], [318, 330, 'Scrum'], [343, 349, 'Status'], [372, 380, 'Status'], [528, 538, 'Scrum'], [547, 553, 'Status'], [404, 412, 'Status']]"
